month,PfPR,Cases,Severe_cases,New_infections,Anemia,Mean_density,Gametocyte_prevalence,Pop,agebin,Run_Number,Year
7,0.7758516913446,1.830785302445,0.01464628241956,192,41.52221065946,2.16723649712,0.304361783235,830.7,115.0,2,2023.0
8,0.6848810191491,2.865956183523,0.0,429,54.6578786429,2.396972734451,0.2892396442593,832.0666666667,115.0,2,2023.0
9,0.7529877293257,3.793117124587,0.02917782403529,451,103.7417533575,2.881175621426,0.4097685758823,833.9666666667,115.0,2,2023.0
10,0.8043148222133,3.966440215707,0.02916500158608,485,117.3745488832,3.000726355968,0.5518577706752,834.3333333333,115.0,2,2023.0
11,0.8545889864326,3.481045535766,0.0145650440827,325,124.7350375243,2.994918157906,0.6036312849162,835.3333333333,115.0,2,2023.0
12,0.8459730741655,3.082131691277,0.0,369,99.63136075623,2.768960503997,0.5648848880746,836.8666666667,115.0,2,2023.0
1,0.1048158640227,2.067988634109,0.0,2,62.03965902328,3.937033679034,0.02266288951841,11.76666666667,0.25,4,2023.0
2,0.1371428571429,0.0,1.042857170105,0,62.5714302063,2.656044041117,0.1628571428571,11.66666666667,0.25,4,2023.0
3,0.08433734939759,1.465863466263,0.0,2,76.22490024567,3.045842715672,0.04016064257028,8.3,0.25,4,2023.0
4,0.1357466063348,1.65158367157,0.0,3,54.5022611618,3.703036733468,0.0814479638009,7.366666666667,0.25,4,2023.0
5,0.1380952380952,3.476190567017,0.0,7,126.8809556961,3.547281639329,0.0,7.0,0.25,4,2023.0
6,0.2426229508197,1.196721315384,0.0,0,98.13114786148,4.048350005536,0.1967213114754,10.16666666667,0.25,4,2023.0
7,0.1326086956522,2.380434751511,0.0,4,86.48912930489,3.235745783712,0.05434782608696,15.33333333333,0.25,4,2023.0
8,0.1732776617954,0.7620041966438,0.0,3,76.96242386103,3.473672051028,0.1294363256785,15.96666666667,0.25,4,2023.0
9,0.2511210762332,3.273542642593,0.0,6,142.3991049528,3.261653738362,0.1322869955157,14.86666666667,0.25,4,2023.0
10,0.2099737532808,3.832020998001,0.0,6,121.6666666865,2.814728869498,0.1102362204724,12.7,0.25,4,2023.0
11,0.4161849710983,3.164739847183,1.054913282394,6,220.4768760204,3.720158423815,0.2225433526012,11.53333333333,0.25,4,2023.0
12,0.5632911392405,5.775316357613,1.155063271523,8,257.5791095495,3.407324930255,0.4335443037975,10.53333333333,0.25,4,2023.0
